# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20001101,  100
  260,20001102,  114
  260,20001103,  114
  260,20001104,  111
  260,20001105,  105
  260,20001106,  116
  260,20001107,   96
  260,20001108,   94
  260,20001109,   90
  260,20001110,   91
  260,20001111,  105
  260,20001112,   98
  260,20001113,  101
  260,20001114,   94
  260,20001115,   75
  260,20001116,   92
  260,20001117,   82
  260,20001118,   84
  260,20001119,  116
  260,20001120,   79
  260,20001121,   79
  260,20001122,  111
  260,20001123,  113
  260,20001124,   92
  260,20001125,   96
  260,20001126,   94
  260,20001127,   86
  260,20001128,  148
  260,20001129,  136
  260,20001130,  124
  260,20001201,  135
  260,20001202,  125
  260,20001203,  108
  260,20001204,   94
  260,20001205,  122
  260,20001206,  123
  260,20001207,  117
  260,20001208,  149
  260,20001209,  111
  260,20001210,  117
  260,20001211,  134
  260,20001212,  139
  260,20001213,  129
  260,20001214,  100
  260,20001215,   72
  260,20001216,   51
  260,20001217,   55
  260,20001218,   42
  260,20001219,   62
  260,20001220,   31
  260,20001221,   25
  260,20001222,   10
  260,20001223,   18
  260,20001224,   11
  260,20001225,    9
  260,20001226,   -7
  260,20001227,   -4
  260,20001228,   27
  260,20001229,   33
  260,20001230,   35
  260,20001231,   23
  260,20010101,   63
  260,20010102,  112
  260,20010103,   99
  260,20010104,   91
  260,20010105,  107
  260,20010106,   76
  260,20010107,   68
  260,20010108,   55
  260,20010109,   55
  260,20010110,   41
  260,20010111,   40
  260,20010112,   52
  260,20010113,   31
  260,20010114,    7
  260,20010115,   15
  260,20010116,   19
  260,20010117,   10
  260,20010118,   -5
  260,20010119,    3
  260,20010120,   13
  260,20010121,    7
  260,20010122,   57
  260,20010123,  107
  260,20010124,  119
  260,20010125,   81
  260,20010126,   61
  260,20010127,   56
  260,20010128,   77
  260,20010129,   60
  260,20010130,   42
  260,20010131,   34
  260,20010201,   31
  260,20010202,   16
  260,20010203,   40
  260,20010204,   93
  260,20010205,  102
  260,20010206,  129
  260,20010207,  123
  260,20010208,  117
  260,20010209,   70
  260,20010210,   70
  260,20010211,  125
  260,20010212,  129
  260,20010213,   94
  260,20010214,   73
  260,20010215,  132
  260,20010216,   50
  260,20010217,   53
  260,20010218,   86
  260,20010219,   67
  260,20010220,   88
  260,20010221,  101
  260,20010222,   89
  260,20010223,   64
  260,20010224,   20
  260,20010225,   42
  260,20010226,   56
  260,20010227,   51
  260,20010228,   71
  260,20010301,   36
  260,20010302,   42
  260,20010303,    6
  260,20010304,   37
  260,20010305,   46
  260,20010306,   92
  260,20010307,  137
  260,20010308,  108
  260,20010309,  112
  260,20010310,  117
  260,20010311,  132
  260,20010312,  117
  260,20010313,   84
  260,20010314,  101
  260,20010315,  118
  260,20010316,   95
  260,20010317,   51
  260,20010318,   45
  260,20010319,   56
  260,20010320,   72
  260,20010321,   18
  260,20010322,   46
  260,20010323,  101
  260,20010324,  121
  260,20010325,   38
  260,20010326,   53
  260,20010327,   55
  260,20010328,  120
  260,20010329,   94
  260,20010330,  106
  260,20010331,  134
  260,20010401,  151
  260,20010402,  222
  260,20010403,  161
  260,20010404,  123
  260,20010405,  118
  260,20010406,  145
  260,20010407,  127
  260,20010408,  105
  260,20010409,   98
  260,20010410,  136
  260,20010411,  120
  260,20010412,  101
  260,20010413,   80
  260,20010414,   81
  260,20010415,  103
  260,20010416,   98
  260,20010417,   92
  260,20010418,   89
  260,20010419,   86
  260,20010420,   79
  260,20010421,  116
  260,20010422,  125
  260,20010423,  126
  260,20010424,  152
  260,20010425,  159
  260,20010426,  147
  260,20010427,  139
  260,20010428,  144
  260,20010429,  173
  260,20010430,  178
  260,20010501,  137
  260,20010502,  212
  260,20010503,  175
  260,20010504,  106
  260,20010505,  118
  260,20010506,  154
  260,20010507,  168
  260,20010508,  153
  260,20010509,  237
  260,20010510,  253
  260,20010511,  255
  260,20010512,  249
  260,20010513,  256
  260,20010514,  202
  260,20010515,  198
  260,20010516,  188
  260,20010517,  168
  260,20010518,  147
  260,20010519,  166
  260,20010520,  182
  260,20010521,  172
  260,20010522,  200
  260,20010523,  235
  260,20010524,  219
  260,20010525,  226
  260,20010526,  235
  260,20010527,  191
  260,20010528,  217
  260,20010529,  198
  260,20010530,  215
  260,20010531,  169
  260,20010601,  179
  260,20010602,  148
  260,20010603,  130
  260,20010604,  169
  260,20010605,  210
  260,20010606,  213
  260,20010607,  161
  260,20010608,  164
  260,20010609,  157
  260,20010610,  174
  260,20010611,  163
  260,20010612,  179
  260,20010613,  204
  260,20010614,  218
  260,20010615,  244
  260,20010616,  204
  260,20010617,  190
  260,20010618,  152
  260,20010619,  193
  260,20010620,  236
  260,20010621,  192
  260,20010622,  177
  260,20010623,  214
  260,20010624,  242
  260,20010625,  248
  260,20010626,  286
  260,20010627,  245
  260,20010628,  235
  260,20010629,  256
  260,20010630,  233
  260,20010701,  222
  260,20010702,  231
  260,20010703,  260
  260,20010704,  290
  260,20010705,  316
  260,20010706,  312
  260,20010707,  270
  260,20010708,  187
  260,20010709,  217
  260,20010710,  247
  260,20010711,  202
  260,20010712,  198
  260,20010713,  204
  260,20010714,  167
  260,20010715,  200
  260,20010716,  198
  260,20010717,  224
  260,20010718,  200
