title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142,Crime; Drama,Frank Darabont,Stephen King; Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton,9.3,"1,551,064"
The Godfather,175,Crime; Drama,Francis Ford Coppola,Mario Puzo; Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,9.2,"1,062,065"
The Godfather: Part II,202,Crime; Drama,Francis Ford Coppola,Francis Ford Coppola; Mario Puzo,Al Pacino; Robert De Niro; Robert Duvall,9.0,"719,240"
The Dark Knight,152,Action; Crime; Drama,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"1,526,731"
12 Angry Men,96,Crime; Drama,Sidney Lumet,Reginald Rose,Henry Fonda; Lee J. Cobb; Martin Balsam,8.9,"402,339"
Schindler's List,195,Biography; Drama; History,Steven Spielberg,Thomas Keneally; Steven Zaillian,Liam Neeson; Ralph Fiennes; Ben Kingsley,8.9,"789,894"
Pulp Fiction,154,Crime; Drama,Quentin Tarantino,Quentin Tarantino; Roger Avary,John Travolta; Uma Thurman; Samuel L. Jackson,8.9,"1,209,205"
"Il buono, il brutto, il cattivo",161,Western,Sergio Leone,Luciano Vincenzoni; Sergio Leone,Clint Eastwood; Eli Wallach; Lee Van Cleef,8.9,"463,364"
The Lord of the Rings: The Return of the King,201,Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Viggo Mortensen; Ian McKellen,8.9,"1,112,637"
Fight Club,139,Drama,David Fincher,Chuck Palahniuk; Jim Uhls,Brad Pitt; Edward Norton; Helena Bonham Carter,8.9,"1,224,887"
