"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","64.084","64.429","64.747","65.053","65.356","65.66","65.959","66.242","66.503","66.745","66.972","67.19","67.405","67.626","67.857","68.11","68.394","68.706","69.041","69.387","69.726","70.036","70.301","70.51","70.66","70.757","70.814","70.851","70.886","70.924","70.969","71.018","71.062","71.098","71.126","71.148","71.167","71.187","71.214","71.251","71.305","71.379","71.475","71.591","71.725","71.871","72.024","72.176","72.323","72.462","72.593","72.716","72.837","72.959","","",
"Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.282","31.775","32.267","32.76","33.251","33.741","34.228","34.713","35.193","35.669","36.137","36.596","37.044","37.483","37.915","38.341","38.76","39.176","39.598","40.035","40.5","41.006","41.56","42.165","42.824","43.536","44.301","45.106","45.936","46.775","47.609","48.427","49.218","49.975","50.685","51.338","51.924","52.448","52.92","53.348","53.751","54.145","54.547","54.97","55.419","55.896","56.397","56.906","57.411","57.906","58.384","58.84","59.274","59.688","","",
"Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.538","31.935","32.331","32.727","33.124","33.521","33.919","34.319","34.72","35.12","35.52","35.922","36.324","36.72","37.105","37.468","37.801","38.096","38.35","38.561","38.729","38.855","38.948","39.018","39.072","39.109","39.127","39.129","39.126","39.134","39.172","39.26","39.414","39.646","39.966","40.39","40.927","41.567","42.285","43.059","43.856","44.639","45.381","46.06","46.664","47.191","47.649","48.065","48.463","48.852","49.241","49.632","50.024","50.413","","",
"Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","61.309","62.272","63.117","63.811","64.346","64.723","64.962","65.116","65.233","65.346","65.496","65.714","66.004","66.356","66.762","67.19","67.596","67.943","68.204","68.376","68.475","68.533","68.59","68.673","68.788","68.92","69.04","69.12","69.145","69.122","69.07","69.015","68.993","69.03","69.14","69.337","69.624","69.982","70.39","70.829","71.275","71.703","72.096","72.444","72.739","72.985","73.192","73.379","73.565","73.757","73.959","74.172","74.389","74.607","","",
"Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","45.7602746448645","46.3879937702777","47.0002793811146","47.5984403488733","48.1823025862628","48.7492054968476","49.2930967978572","49.8147113931065","50.3190597088925","50.8154102000762","51.3181176790036","51.8450108245578","52.4034685090947","52.9910997277713","53.5983603720308","54.2065919142585","54.7932287511571","55.3441348205753","55.8595640583703","56.3518374541353","56.8453550256982","57.3680605501435","57.9378680104641","58.5592974094435","59.2203910662069","59.9020825134969","60.5780672277702","61.2199063880344","61.8063680758278","62.3284226010599","62.8893005861447","63.2923679741071","63.587356991526","63.927364670355","64.2673125968675","64.655052771864","64.9609155857813","65.2491745509902","65.5050580200957","65.7471933602683","65.9555585279073","66.1474476666951","66.3240063297913","66.4902099602916","66.6631456968047","66.8379682322536","67.0238909169448","67.2183025627283","67.4049815573135","67.5877561767746","67.7680003505859","67.9237538852171","68.0863692843519","68.2480587393457","","",
"United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","49.612","50.709","51.807","52.904","53.996","55.074","56.126","57.139","58.106","59.022","59.883","60.693","61.459","62.188","62.885","63.551","64.187","64.794","65.373","65.924","66.451","66.952","67.428","67.881","68.311","68.722","69.112","69.483","69.838","70.178","70.506","70.824","71.133","71.434","71.729","72.018","72.301","72.579","72.849","73.114","73.373","73.628","73.878","74.124","74.365","74.6","74.825","75.04","75.245","75.439","75.623","75.801","75.973","76.143","","",
"Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","62.417","62.459","62.477","62.485","62.499","62.536","62.612","62.731","62.893","63.099","63.344","63.618","63.906","64.198","64.485","64.766","65.045","65.327","65.612","65.897","66.174","66.433","66.668","66.877","67.062","67.227","67.382","67.538","67.702","67.879","68.07","68.275","68.487","68.702","68.917","69.129","69.338","69.543","69.743","69.939","70.132","70.321","70.51","70.698","70.887","71.078","71.27","71.463","71.656","71.851","72.046","72.243","72.44","72.639","","",
"Armenia","ARM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","62.822","63.24","63.664","64.092","64.522","64.953","65.384","65.81","66.22","66.602","66.935","67.198","67.381","67.486","67.52","67.509","67.486","67.479","67.502","67.552","67.606","67.626","67.576","67.436","67.203","66.88","66.476","66.03","65.586","65.18","64.86","64.67","64.627","64.732","64.983","65.366","65.851","66.393","66.949","67.491","67.998","68.462","68.892","69.29","69.652","69.971","70.243","70.47","70.659","70.815","70.946","71.06","71.166","71.271","","",
"American Samoa","ASM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
